description,device_type,serial_number,created_time,last_plug_unplug_time,driver_description,instance_id,capabilities,connect_time,disconnect_time
USB Input Device,HID (Human Interface Device),,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52,USB Input Device,USB\VID_046D&PID_C092&MI_00\6&273ab9d2&0&0000,SurpriseRemovalOK,2022-12-16 오후 7:10:51,2022-12-16 오후 7:10:51
USB Input Device,HID (Human Interface Device),,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52,USB Input Device,USB\VID_046D&PID_C092&MI_01\6&273ab9d2&0&0001,SurpriseRemovalOK,2022-12-16 오후 7:10:51,2022-12-16 오후 7:10:51
USB Input Device,HID (Human Interface Device),,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52,USB Input Device,USB\VID_0483&PID_5022&MI_02\6&30beefe4&0&0002,SurpriseRemovalOK,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52
USB Input Device,HID (Human Interface Device),,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52,USB Input Device,USB\VID_0483&PID_5022&MI_01\6&30beefe4&0&0001,SurpriseRemovalOK,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52
USB Input Device,HID (Human Interface Device),,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52,USB Input Device,USB\VID_0483&PID_5022&MI_00\6&30beefe4&0&0000,SurpriseRemovalOK,2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52
EasyCamera,Video,,2022-12-16 오후 7:10:52,2021-10-07 오전 3:01:53,EasyCamera,USB\VID_5986&PID_06B0&MI_00\6&2db7e97&0&0000,"Removable, SurpriseRemovalOK",2022-12-16 오후 7:10:52,2022-12-16 오후 7:10:52
USB Composite Device,Unknown,v9TKB,2022-12-16 오후 7:10:51,2021-10-07 오전 3:01:15,USB Composite Device,USB\VID_046D&PID_C092\207639544B42,"Removable, UniqueID, SurpriseRemovalOK",2022-12-16 오후 7:10:51,2022-12-16 오후 7:10:51
USB Composite Device,Unknown,151027,2022-12-16 오후 7:10:52,2021-10-07 오전 3:01:15,USB Composite Device,USB\VID_5986&PID_06B0\151027,"UniqueID, SurpriseRemovalOK",2022-12-16 오후 7:10:51,2022-12-16 오후 7:10:51
Qualcomm Atheros QCA61x4 Bluetooth,Bluetooth Device,,2022-12-16 오후 7:10:52,2021-10-07 오전 3:02:10,Qualcomm Atheros QCA61x4 Bluetooth,USB\VID_0CF3&PID_E300\5&127f17c5&0&11,SurpriseRemovalOK,2022-12-16 오후 7:10:51,2022-12-16 오후 7:10:51
USB Composite Device,Unknown,CA2015010002,2022-12-16 오후 7:10:52,2021-10-07 오전 3:01:15,USB Composite Device,USB\VID_0483&PID_5022\CA2015010002,"Removable, UniqueID, SurpriseRemovalOK",2022-12-16 오후 7:10:51,2022-12-16 오후 7:10:51
